model,threshold,wind_bin,games,graded,wins,losses,pushes,hit_rate,hit_rate_minus_breakeven,hit_rate_wilson_low,hit_rate_wilson_high,net_units_1u_each,roi_per_1u,avg_market_residual,avg_abs_pred_edge
hist_gradient_boosting,1.5,5-10,2240,2215,1126,1089,25,0.5083521444695259,-0.015457379339997912,0.48753581140922864,0.5291395564944558,-65.36363636363637,-0.029509542376359537,0.7290178571428572,3.9260590482727746
hist_gradient_boosting,1.5,missing,118,114,45,69,4,0.39473684210526316,-0.12907268170426067,0.3098480436290092,0.486488733875709,-28.09090909090909,-0.2464114832535885,-1.4152542372881356,3.565638953127739
hist_gradient_boosting,2.5,0-5,1278,1260,668,592,18,0.5301587301587302,0.006349206349206327,0.5025507170887825,0.5575834009842419,15.27272727272727,0.01212121212121212,0.12519561815336464,4.858576160625774
hist_gradient_boosting,2.5,10-15,889,874,466,408,15,0.5331807780320366,0.009371254222512726,0.5000317836159155,0.5660393617934613,15.636363636363644,0.017890576242978996,-0.5697412823397076,4.819188942867933
hist_gradient_boosting,2.5,15-20,225,224,111,113,1,0.4955357142857143,-0.028273809523809534,0.4306888879853118,0.5605330837705046,-12.09090909090909,-0.05397727272727272,0.2311111111111111,5.186176709978707
hist_gradient_boosting,2.5,20+,88,86,38,48,2,0.4418604651162791,-0.08194905869324476,0.3416256631747516,0.547067325373983,-13.454545454545453,-0.15644820295983086,-0.9375,5.032148405227672
hist_gradient_boosting,2.5,5-10,1538,1521,774,747,17,0.5088757396449705,-0.014933784164553376,0.4837607912271548,0.5339459659861848,-43.363636363636346,-0.02850995158687465,0.9346553966189857,4.819203135404591
hist_gradient_boosting,2.5,missing,78,75,32,43,3,0.4266666666666667,-0.09714285714285714,0.32100563365956936,0.53947411307312,-13.909090909090908,-0.18545454545454546,-1.0833333333333333,4.404580695063309
hist_gradient_boosting,3.5,0-5,874,864,467,397,10,0.5405092592592593,0.016699735449735464,0.5071724126625063,0.573487468126799,27.545454545454547,0.031881313131313135,-0.41304347826086957,5.732864924652955
hist_gradient_boosting,3.5,10-15,581,575,317,258,6,0.551304347826087,0.027494824016563113,0.5104444401039969,0.5914832720714929,30.18181818181818,0.0524901185770751,-0.8820998278829604,5.804160274266651
hist_gradient_boosting,3.5,15-20,170,169,85,84,1,0.5029585798816568,-0.020850943927867016,0.428351944313058,0.5774336998837094,-6.727272727272725,-0.03980634749865518,-0.14705882352941177,5.88965477955308
