model,threshold,total_bin,games,graded,wins,losses,pushes,hit_rate,hit_rate_minus_breakeven,hit_rate_wilson_low,hit_rate_wilson_high,net_units_1u_each,roi_per_1u,avg_market_residual,avg_abs_pred_edge
extra_trees,2.5,63+,214,210,115,95,4,0.5476190476190477,0.023809523809523836,0.48004649415406814,0.6134806773598003,9.545454545454541,0.045454545454545435,-0.6705607476635514,3.3123786928036276
extra_trees,2.5,<=42,71,71,39,32,0,0.5492957746478874,0.025486250838363533,0.4340086039234117,0.6595222666084852,3.454545454545454,0.04865556978233034,0.02112676056338028,3.5521268924772356
extra_trees,3.5,42-49,140,140,79,61,0,0.5642857142857143,0.04047619047619044,0.48151720505769724,0.6436204463588611,10.81818181818182,0.07727272727272728,0.9964285714285714,4.847160106238417
extra_trees,3.5,49-56,166,165,78,87,1,0.4727272727272727,-0.05108225108225112,0.39803755419841946,0.5486580468856734,-16.090909090909086,-0.09752066115702476,1.1746987951807228,4.274195099789525
extra_trees,3.5,56-63,90,90,41,49,0,0.45555555555555555,-0.06825396825396829,0.3565944565658975,0.5581555050715851,-11.727272727272728,-0.1303030303030303,-1.5777777777777777,4.1942567785589
extra_trees,3.5,63+,66,66,37,29,0,0.5606060606060606,0.036796536796536716,0.4408242143005392,0.6737206987598716,4.636363636363636,0.07024793388429751,0.8484848484848485,4.268713353939146
extra_trees,3.5,<=42,28,28,13,15,0,0.4642857142857143,-0.059523809523809534,0.29531303739659587,0.6418760485789833,-3.1818181818181817,-0.11363636363636363,-3.4464285714285716,4.449812727259796
extra_trees,5.0,42-49,49,49,27,22,0,0.5510204081632653,0.027210884353741416,0.41314866799678107,0.6814737507036366,2.5454545454545454,0.051948051948051945,2.0,6.136121878544849
extra_trees,5.0,49-56,30,30,17,13,0,0.5666666666666667,0.042857142857142816,0.3919700954540873,0.7262276256938489,2.454545454545454,0.0818181818181818,2.683333333333333,5.549459372383518
extra_trees,5.0,56-63,10,10,6,4,0,0.6,0.07619047619047614,0.3126695474501864,0.8318224187964902,1.4545454545454544,0.14545454545454545,-5.3,5.552629787431004
extra_trees,5.0,63+,11,11,7,4,0,0.6363636363636364,0.11255411255411252,0.35379677689163724,0.8483377638586862,2.3636363636363633,0.21487603305785122,11.772727272727273,5.490927056658246
extra_trees,5.0,<=42,8,8,3,5,0,0.375,-0.14880952380952384,0.13684175946152105,0.6942621454161981,-2.272727272727273,-0.2840909090909091,-5.625,5.5390453881830775
hist_gradient_boosting,1.5,42-49,1279,1261,676,585,18,0.5360824742268041,0.01227295041728027,0.5084890289186949,0.5634567388359394,29.545454545454554,0.023430178069353335,1.5648944487881158,3.9527439253043717
hist_gradient_boosting,1.5,49-56,1886,1871,904,967,15,0.4831640833778728,-0.040645440431651025,0.4605783019660658,0.5058188592661151,-145.18181818181816,-0.07759584082406101,0.5906680805938495,3.741038576911209
hist_gradient_boosting,1.5,56-63,1441,1414,726,688,27,0.5134370579915134,-0.010372465818010435,0.4873837380013177,0.5394175633570286,-27.999999999999993,-0.019801980198019795,-0.0399028452463567,3.8215119722603386
hist_gradient_boosting,1.5,63+,999,990,522,468,9,0.5272727272727272,0.0034632034632033903,0.49612721700138646,0.5582073972872486,6.5454545454545485,0.006611570247933888,-0.913913913913914,4.618141666680262
hist_gradient_boosting,1.5,<=42,268,262,135,127,6,0.5152671755725191,-0.008542348237004727,0.454968621061666,0.5751244870147224,-4.27272727272727,-0.016308119361554466,3.013059701492537,4.265891444705418
hist_gradient_boosting,2.5,42-49,912,897,481,416,15,0.5362318840579711,0.012422360248447228,0.503511443387829,0.568643306126403,21.272727272727277,0.02371541501976285,1.4967105263157894,4.750990523680159
hist_gradient_boosting,2.5,49-56,1249,1239,602,637,10,0.4858757062146893,-0.03793381759483455,0.45813212670045034,0.5137066015815769,-89.72727272727272,-0.0724191063174114,0.3506805444355484,4.634187030593036
hist_gradient_boosting,2.5,56-63,980,960,500,460,20,0.5208333333333334,-0.0029761904761904656,0.48921133321710675,0.5522892619014274,-5.454545454545446,-0.005681818181818173,-0.4443877551020408,4.70972800843758
hist_gradient_boosting,2.5,63+,769,764,409,355,5,0.5353403141361257,0.01153079032660187,0.4998851594119878,0.5704418455327821,16.81818181818182,0.02201332698714898,-1.1859557867360209,5.39763727797748
hist_gradient_boosting,2.5,<=42,197,191,101,90,6,0.5287958115183246,0.0049862877088007185,0.45813450915591536,0.5983216069917655,1.818181818181821,0.009519276534983356,2.8654822335025383,5.109184984313287
hist_gradient_boosting,3.5,42-49,620,611,329,282,9,0.5384615384615384,0.0146520146520146,0.49881509348042524,0.5776273593399435,17.090909090909093,0.027972027972027975,1.4540322580645162,5.586235670195265
hist_gradient_boosting,3.5,49-56,779,773,399,374,6,0.5161707632600259,-0.007638760549497969,0.4809482105824802,0.5512333821643551,-11.272727272727272,-0.014583088321768786,0.5975609756097561,5.641136698797127
hist_gradient_boosting,3.5,56-63,638,627,341,286,11,0.543859649122807,0.020050125313283207,0.5047239658043456,0.5824611532493122,23.999999999999996,0.03827751196172248,-1.0924764890282133,5.6378661434218715
hist_gradient_boosting,3.5,63+,599,595,327,268,4,0.5495798319327732,0.02577030812324932,0.509410865881395,0.5891126835847744,29.27272727272727,0.04919786096256684,-1.0909849749582639,6.083453102206306
hist_gradient_boosting,3.5,<=42,143,139,73,66,4,0.5251798561151079,0.0013703323055840322,0.4426067651721205,0.6063985666079771,0.3636363636363633,0.0026160889470241964,2.0489510489510487,5.902326286915681
hist_gradient_boosting,5.0,42-49,334,331,178,153,3,0.5377643504531722,0.013954826643648333,0.48392651919816215,0.5907356494212685,8.818181818181818,0.026641032683328757,2.0808383233532934,6.796386545283655
hist_gradient_boosting,5.0,49-56,393,391,208,183,2,0.5319693094629157,0.008159785653391816,0.4824391560249022,0.5808773739455975,6.090909090909095,0.015577772611020705,0.7951653944020356,7.107654680131434
hist_gradient_boosting,5.0,56-63,342,334,183,151,8,0.5479041916167665,0.024094667807242676,0.4942844809611017,0.6004344642487247,15.363636363636362,0.04599891126837234,-0.5526315789473685,6.923740801724336
hist_gradient_boosting,5.0,63+,372,369,204,165,3,0.5528455284552846,0.029036004645760727,0.5018291076063754,0.602772953966153,20.454545454545453,0.05543237250554323,-0.6626344086021505,7.238123605766918
hist_gradient_boosting,5.0,<=42,84,81,44,37,3,0.5432098765432098,0.01940035273368601,0.43523822983845284,0.6472684649904988,3.0,0.037037037037037035,1.2083333333333333,7.129648948842491
ridge,1.5,42-49,1377,1362,734,628,15,0.5389133627019089,0.01510383889238509,0.5123670236820626,0.5652408043413333,39.272727272727266,0.028834601521826188,1.4887436456063907,3.792472259432531
ridge,1.5,49-56,2298,2281,1122,1159,17,0.49188952213941256,-0.031920001670111275,0.4714037666442649,0.5124025506076618,-139.0,-0.060938185006576065,0.35356832027850305,3.8566335208508558
ridge,1.5,56-63,1610,1582,796,786,28,0.5031605562579013,-0.020648967551622488,0.4785442654509859,0.5277615345734302,-62.36363636363636,-0.039420756234915526,-0.04192546583850932,3.8050809095693254
ridge,1.5,63+,875,868,438,430,7,0.5046082949308756,-0.01920122887864828,0.4713993906131117,0.5377765881426623,-31.81818181818182,-0.036656891495601175,-1.0182857142857142,3.98621340095837
