filter_name,category,season,graded,wins,losses,hit_rate,net_units_1u_each,roi_per_1u
hgb_under_3p5_temp_ge_90,weather_single,2018,7,2,5,0.2857142857142857,-3.1818181818181817,-0.45454545454545453
hgb_under_3p5_temp_ge_90,weather_single,2019,6,3,3,0.5,-0.2727272727272726,-0.045454545454545435
hgb_under_3p5_temp_ge_90,weather_single,2021,3,0,3,0.0,-3.0,-1.0
hgb_under_3p5_temp_ge_90,weather_single,2022,2,0,2,0.0,-2.0,-1.0
hgb_under_3p5_temp_ge_90,weather_single,2023,7,5,2,0.7142857142857143,2.5454545454545454,0.36363636363636365
hgb_under_3p5_temp_ge_90,weather_single,2024,3,0,3,0.0,-3.0,-1.0
hgb_under_3p5_temp_ge_95,weather_single,2018,3,1,2,0.3333333333333333,-1.0909090909090908,-0.3636363636363636
hgb_under_3p5_temp_ge_95,weather_single,2019,1,0,1,0.0,-1.0,-1.0
hgb_under_3p5_temp_ge_95,weather_single,2023,3,1,2,0.3333333333333333,-1.0909090909090908,-0.3636363636363636
hgb_under_3p5_temp_ge_95,weather_single,2024,3,0,3,0.0,-3.0,-1.0
hgb_under_3p5_humidity_ge_60,weather_single,2016,75,37,38,0.49333333333333335,-4.363636363636363,-0.058181818181818175
hgb_under_3p5_humidity_ge_60,weather_single,2017,82,47,35,0.573170731707317,7.727272727272727,0.09423503325942349
hgb_under_3p5_humidity_ge_60,weather_single,2018,103,57,46,0.5533980582524272,5.818181818181819,0.05648720211827009
hgb_under_3p5_humidity_ge_60,weather_single,2019,46,27,19,0.5869565217391305,5.545454545454546,0.12055335968379448
hgb_under_3p5_humidity_ge_60,weather_single,2020,46,21,25,0.45652173913043476,-5.909090909090908,-0.1284584980237154
hgb_under_3p5_humidity_ge_60,weather_single,2021,131,66,65,0.5038167938931297,-5.000000000000002,-0.038167938931297725
hgb_under_3p5_humidity_ge_60,weather_single,2022,51,29,22,0.5686274509803921,4.363636363636362,0.08556149732620319
hgb_under_3p5_humidity_ge_60,weather_single,2023,43,23,20,0.5348837209302325,0.9090909090909101,0.021141649048625814
hgb_under_3p5_humidity_ge_60,weather_single,2024,26,15,11,0.5769230769230769,2.6363636363636362,0.10139860139860139
hgb_under_3p5_humidity_ge_70,weather_single,2016,53,26,27,0.49056603773584906,-3.3636363636363624,-0.06346483704974269
hgb_under_3p5_humidity_ge_70,weather_single,2017,62,35,27,0.5645161290322581,4.8181818181818175,0.07771260997067447
hgb_under_3p5_humidity_ge_70,weather_single,2018,67,35,32,0.5223880597014925,-0.18181818181818288,-0.0027137042062415355
hgb_under_3p5_humidity_ge_70,weather_single,2019,37,20,17,0.5405405405405406,1.1818181818181817,0.031941031941031935
hgb_under_3p5_humidity_ge_70,weather_single,2020,28,14,14,0.5,-1.2727272727272725,-0.04545454545454545
hgb_under_3p5_humidity_ge_70,weather_single,2021,91,47,44,0.5164835164835165,-1.2727272727272725,-0.013986013986013983
hgb_under_3p5_humidity_ge_70,weather_single,2022,33,18,15,0.5454545454545454,1.3636363636363629,0.04132231404958675
hgb_under_3p5_humidity_ge_70,weather_single,2023,32,18,14,0.5625,2.3636363636363633,0.07386363636363635
hgb_under_3p5_humidity_ge_70,weather_single,2024,21,12,9,0.5714285714285714,1.9090909090909087,0.0909090909090909
hgb_under_3p5_humidity_ge_80,weather_single,2016,36,19,17,0.5277777777777778,0.2727272727272725,0.007575757575757569
hgb_under_3p5_humidity_ge_80,weather_single,2017,39,21,18,0.5384615384615384,1.0909090909090908,0.02797202797202797
hgb_under_3p5_humidity_ge_80,weather_single,2018,41,22,19,0.5365853658536586,0.9999999999999998,0.02439024390243902
