strategy,legs,parlays,graded,wins,losses,pushes,hit_rate,breakeven_hit_rate_at_minus_110_legs,hit_rate_wilson_low,hit_rate_wilson_high,net_units_1u_parlay,roi_per_1u_parlay,avg_abs_pred_edge_per_leg,avg_market_residual_per_leg,base_strategy,season
hgb_under_5p0_all__2023,3,60,60,9,51,0,0.15,0.1437209804556743,0.08097349242295689,0.26114825891159615,-17.41622839969947,-0.2902704733283245,6.909496559772344,1.5805555555555555,hgb_under_5p0_all,2023
hgb_under_5p0_all__2024,3,46,46,1,45,0,0.021739130434782608,0.1437209804556743,0.0038477551112426345,0.11335554494333024,-39.04207362885049,-0.8487407310619671,6.354220197878255,3.4963768115942018,hgb_under_5p0_all,2024
hgb_under_5p0_consensus__2017,2,334,334,142,192,0,0.4251497005988024,0.27437641723356004,0.37327730075889076,0.478724347350756,169.65289256198355,0.5079427921017472,7.295985886580806,-3.480538922155689,hgb_under_5p0_consensus,2017
hgb_under_5p0_consensus__2018,2,405,405,124,281,0,0.30617283950617286,0.27437641723356004,0.2632796314544686,0.3527085654413464,33.049586776859556,0.08160391796755447,7.83434144737206,0.6734567901234568,hgb_under_5p0_consensus,2018
hgb_under_5p0_consensus__2019,2,125,125,31,94,0,0.248,0.27437641723356004,0.18056639010525916,0.3304611041202084,-20.694214876033044,-0.16555371900826435,6.702390552531539,2.144,hgb_under_5p0_consensus,2019
hgb_under_5p0_consensus__2020,2,136,136,27,109,0,0.19852941176470587,0.27437641723356004,0.14018035078929258,0.2734419189787878,-37.59504132231404,-0.27643412736995615,7.3056587422121995,4.5974264705882355,hgb_under_5p0_consensus,2020
hgb_under_5p0_consensus__2021,2,610,610,198,412,0,0.32459016393442625,0.27437641723356004,0.28863095824019597,0.3627449015907442,96.01652892561992,0.1574041457797048,7.047735893943185,-1.2245901639344263,hgb_under_5p0_consensus,2021
hgb_under_5p0_consensus__2022,2,143,143,45,98,0,0.3146853146853147,0.27437641723356004,0.2442641903306046,0.3948026681073313,21.00826446280994,0.1469109402993702,6.690104826743891,-1.9877622377622377,hgb_under_5p0_consensus,2022
hgb_under_5p0_consensus__2017,3,855,855,228,627,0,0.26666666666666666,0.1437209804556743,0.23811628562183687,0.297304448539154,638.634861006762,0.7469413579026456,7.407454110826162,-3.293957115009747,hgb_under_5p0_consensus,2017
hgb_under_5p0_consensus__2018,3,987,987,164,823,0,0.1661600810536981,0.1437209804556743,0.1442412253767917,0.19066760364290222,111.02704733283264,0.11248940965839173,7.850521428626929,0.9241810199257009,hgb_under_5p0_consensus,2018
