model,threshold,temp_bin,games,graded,wins,losses,pushes,hit_rate,hit_rate_minus_breakeven,hit_rate_wilson_low,hit_rate_wilson_high,net_units_1u_each,roi_per_1u,avg_market_residual,avg_abs_pred_edge
hist_gradient_boosting,2.5,35-50,548,537,283,254,11,0.527001862197393,0.0031923383878691425,0.4847314633409577,0.5688886723882466,3.2727272727272725,0.006094464195022854,1.1633211678832116,4.893323420090717
hist_gradient_boosting,2.5,50-70,1563,1546,820,726,17,0.5304010349288486,0.006591511119324767,0.5054783250934407,0.5551730343745203,19.454545454545467,0.012583793955074687,-0.11036468330134357,4.913013449618259
hist_gradient_boosting,2.5,70-85,1403,1385,703,682,18,0.5075812274368231,-0.016228296372700735,0.4812666649260826,0.5338538498972061,-42.9090909090909,-0.030981293075155885,0.11368496079828938,4.788193319210999
hist_gradient_boosting,2.5,85+,388,385,191,194,3,0.4961038961038961,-0.027705627705627733,0.4464457900563516,0.5458389860581382,-20.363636363636367,-0.05289256198347108,0.7770618556701031,4.800046378226537
hist_gradient_boosting,2.5,<=35,111,107,58,49,4,0.5420560747663551,0.018246550956831253,0.4478329616339208,0.6333639896912133,3.7272727272727275,0.034834324553950725,1.1081081081081081,5.0572833123546514
hist_gradient_boosting,2.5,missing,78,75,32,43,3,0.4266666666666667,-0.09714285714285714,0.32100563365956936,0.53947411307312,-13.909090909090908,-0.18545454545454546,-1.0833333333333333,4.404580695063309
hist_gradient_boosting,3.5,35-50,374,368,201,167,6,0.5461956521739131,0.022386128364389246,0.4951120618769586,0.5963247219578787,15.727272727272728,0.04273715415019763,0.43716577540106955,5.79014843729434
hist_gradient_boosting,3.5,50-70,1073,1063,593,470,10,0.5578551269990593,0.03404560318953542,0.5278438137956832,0.5874497780552531,69.0909090909091,0.0649961515436586,-0.48555452003727867,5.794475587241698
hist_gradient_boosting,3.5,70-85,950,940,488,452,10,0.5191489361702127,-0.004660587639311098,0.48719534391934466,0.5509466493981781,-8.363636363636367,-0.008897485493230177,0.3021052631578947,5.6556854249406365
hist_gradient_boosting,3.5,85+,263,262,129,133,1,0.49236641221374045,-0.03144311159578339,0.4323780730284217,0.5525753729333841,-15.727272727272725,-0.06002775850104093,1.4049429657794676,5.671012862897748
hist_gradient_boosting,3.5,<=35,76,72,41,31,4,0.5694444444444444,0.045634920634920584,0.4544309920240597,0.6774227663354686,6.272727272727272,0.0871212121212121,0.375,6.003029493176899
hist_gradient_boosting,3.5,missing,41,38,17,21,3,0.4473684210526316,-0.07644110275689225,0.3014616531155089,0.6029397082091058,-5.545454545454547,-0.14593301435406703,-0.6585365853658537,5.674478415550559
hist_gradient_boosting,5.0,35-50,207,204,116,88,3,0.5686274509803921,0.0448179271708683,0.5000137268888771,0.6347042506478624,17.454545454545457,0.08556149732620322,2.0410628019323673,7.098121995668401
hist_gradient_boosting,5.0,50-70,597,592,330,262,5,0.5574324324324325,0.03362290862290862,0.5171784594482259,0.5969458313028732,38.0,0.06418918918918919,-0.1800670016750419,7.094643981373135
hist_gradient_boosting,5.0,70-85,507,501,259,242,6,0.5169660678642715,-0.006843455945252375,0.47324562144191207,0.5604283071725287,-6.545454545454545,-0.0130647795318454,0.045364891518737675,6.972550028238822
hist_gradient_boosting,5.0,85+,142,141,77,64,1,0.5460992907801419,0.02228976697061802,0.46378516802037467,0.6259680520489975,6.000000000000001,0.04255319148936171,2.2711267605633805,6.954169940252793
hist_gradient_boosting,5.0,<=35,49,46,25,21,3,0.5434782608695652,0.019668737060041352,0.4017993496608042,0.67845489578878,1.7272727272727266,0.03754940711462449,1.0510204081632653,6.966264787244301
hist_gradient_boosting,5.0,missing,23,22,10,12,1,0.45454545454545453,-0.0692640692640693,0.26920014432004846,0.6534052671095845,-2.9090909090909087,-0.13223140495867766,-1.673913043478261,6.750686650908054
ridge,1.5,35-50,834,822,428,394,12,0.5206812652068127,-0.0031282586027111536,0.4865122787314724,0.5546578439651804,-4.909090909090901,-0.005972130059721291,0.5245803357314148,3.883957979541702
ridge,1.5,50-70,2369,2344,1201,1143,25,0.5123720136518771,-0.011437510157646713,0.49213280601032594,0.5325707344670213,-51.18181818181819,-0.021835246664598202,0.37463064584212746,3.948289533623117
ridge,1.5,70-85,2331,2309,1179,1130,22,0.5106106539627544,-0.013198869846769434,0.49022000658516995,0.5309660530221979,-58.1818181818182,-0.025197842434741533,0.38524238524238524,3.751012005451612
ridge,1.5,85+,614,606,290,316,8,0.47854785478547857,-0.04526166902404527,0.4390351076310286,0.5183308706820285,-52.36363636363636,-0.08640864086408641,0.5757328990228013,3.768573062659021
ridge,1.5,<=35,160,157,75,82,3,0.47770700636942676,-0.04610251744009708,0.40104162647910174,0.5554372943970896,-13.818181818181815,-0.08801389693109436,-0.375,3.7364741447068113
ridge,1.5,missing,118,115,58,57,3,0.5043478260869565,-0.01946169772256734,0.4143142670969196,0.5941002948073294,-4.2727272727272725,-0.03715415019762846,0.7627118644067796,3.2258439867204007
ridge,2.5,35-50,579,568,304,264,11,0.5352112676056338,0.01140174379610992,0.49409424949882147,0.5758551910455529,12.363636363636365,0.021766965428937263,0.8652849740932642,4.718103229821215
ridge,2.5,50-70,1570,1552,801,751,18,0.5161082474226805,-0.00770127638684337,0.4912360879273508,0.5409008596899388,-22.8181818181818,-0.0147024367385192,0.11624203821656051,4.95219520998516
ridge,2.5,70-85,1570,1555,787,768,15,0.5061093247588424,-0.01770019905068143,0.4812747854130293,0.5309137525372025,-52.54545454545455,-0.033791289096755335,0.6659235668789809,4.615334552197282
ridge,2.5,85+,412,406,188,218,6,0.4630541871921182,-0.06075533661740562,0.4151234843002724,0.5116775041791793,-47.090909090909086,-0.11598746081504702,1.0072815533980584,4.638033481324327
ridge,2.5,<=35,107,104,51,53,3,0.49038461538461536,-0.03342490842490847,0.39637419660186013,0.5850800844918921,-6.636363636363636,-0.0638111888111888,-0.40654205607476634,4.610632109275441
