model,threshold,line_provider,games,graded,wins,losses,pushes,hit_rate,hit_rate_minus_breakeven,hit_rate_wilson_low,hit_rate_wilson_high,net_units_1u_each,roi_per_1u,avg_market_residual,avg_abs_pred_edge
extra_trees,5.0,Caesars Sportsbook (Colorado),3,3,3,0,0,1.0,0.47619047619047616,0.43849391955098227,1.0,2.727272727272727,0.9090909090909091,22.5,6.546481659814742
extra_trees,5.0,ESPN Bet,49,49,26,23,0,0.5306122448979592,0.006802721088435382,0.39380627019919845,0.6629671810210522,0.6363636363636361,0.012987012987012983,3.9693877551020407,5.70184246216285
extra_trees,5.0,William Hill (New Jersey),33,33,14,19,0,0.42424242424242425,-0.09956709956709958,0.272353589950299,0.5919302630853998,-6.2727272727272725,-0.19008264462809918,-3.121212121212121,6.082987599884258
extra_trees,5.0,consensus,11,11,7,4,0,0.6363636363636364,0.11255411255411252,0.35379677689163724,0.8483377638586862,2.3636363636363633,0.21487603305785122,0.36363636363636365,5.391633036586956
extra_trees,5.0,teamrankings,11,11,9,2,0,0.8181818181818182,0.2943722943722944,0.5230138624217553,0.9486333993289995,6.181818181818182,0.5619834710743802,3.3636363636363638,5.633902973341969
hist_gradient_boosting,1.5,Bovada,151,150,76,74,1,0.5066666666666667,-0.017142857142857126,0.42749574524160977,0.5855046395697807,-4.90909090909091,-0.03272727272727274,3.947019867549669,3.497598197486153
hist_gradient_boosting,1.5,Caesars Sportsbook (Colorado),33,33,24,9,0,0.7272727272727273,0.20346320346320346,0.5578211674561319,0.849327273436772,12.818181818181818,0.3884297520661157,5.424242424242424,2.837370217824945
hist_gradient_boosting,1.5,DraftKings,830,810,418,392,20,0.5160493827160494,-0.007760141093474449,0.48163891768582395,0.5503083310171177,-11.999999999999993,-0.014814814814814807,0.6885542168674699,3.26497235810736
hist_gradient_boosting,1.5,ESPN Bet,474,474,228,246,0,0.4810126582278481,-0.042796865581675725,0.43636579810413084,0.5259648152204519,-38.72727272727273,-0.08170310701956271,-0.014767932489451477,2.9463882046727634
hist_gradient_boosting,1.5,William Hill (New Jersey),336,334,159,175,2,0.47604790419161674,-0.04776161961790709,0.423063311645909,0.529577215749178,-30.45454545454545,-0.09118127381600434,0.5074404761904762,3.295854233591637
hist_gradient_boosting,1.5,consensus,3410,3365,1743,1622,45,0.5179791976225855,-0.0058303261869383505,0.5010851965073884,0.5348321942063812,-37.454545454545425,-0.0111306227205187,0.26392961876832843,4.2389102041070466
hist_gradient_boosting,1.5,numberfire,4,4,4,0,0,1.0,0.47619047619047616,0.5100999795960008,1.0,3.6363636363636362,0.9090909090909091,22.375,4.735456014298763
hist_gradient_boosting,1.5,teamrankings,596,589,290,299,7,0.4923599320882852,-0.03144959172123862,0.4521649555961054,0.5326539235108936,-35.36363636363635,-0.06004012964963727,0.26593959731543626,4.988241255308298
hist_gradient_boosting,2.5,Bovada,97,96,45,51,1,0.46875,-0.055059523809523836,0.3720590570105098,0.5678457522072913,-10.09090909090909,-0.10511363636363635,4.546391752577319,4.396575942947303
hist_gradient_boosting,2.5,Caesars Sportsbook (Colorado),19,19,13,6,0,0.6842105263157895,0.16040100250626566,0.4601001017506463,0.846358289955714,5.8181818181818175,0.3062200956937799,7.7105263157894735,3.4822372016437697
hist_gradient_boosting,2.5,DraftKings,501,487,259,228,14,0.5318275154004107,0.008017991590886897,0.48743350423410736,0.5757233268087383,7.454545454545456,0.015307074855329478,0.005988023952095809,4.140095697851866
hist_gradient_boosting,2.5,ESPN Bet,238,238,110,128,0,0.46218487394957986,-0.06162464985994398,0.39994576077721655,0.5256253568468812,-28.0,-0.11764705882352941,-0.18067226890756302,3.89620080493167
hist_gradient_boosting,2.5,William Hill (New Jersey),205,203,104,99,2,0.5123152709359606,-0.011494252873563204,0.44396604708469745,0.5802070399538867,-4.4545454545454515,-0.021943573667711585,1.826829268292683,4.153240745708921
hist_gradient_boosting,2.5,consensus,2538,2504,1310,1194,34,0.5231629392971247,-0.0006465845123991842,0.5035791022623075,0.5426758127211588,-3.0909090909090775,-0.0012343886145803026,0.011229314420803783,5.013414714226062
hist_gradient_boosting,2.5,numberfire,3,3,3,0,0,1.0,0.47619047619047616,0.43849391955098227,1.0,2.727272727272727,0.9090909090909091,27.833333333333332,5.68354460401935
hist_gradient_boosting,2.5,teamrankings,494,489,246,243,5,0.5030674846625767,-0.020742039146947167,0.4589003260323438,0.5471868224551216,-19.36363636363636,-0.0395984383714445,-0.14068825910931174,5.605704373386035
hist_gradient_boosting,3.5,Bovada,59,58,24,34,1,0.41379310344827586,-0.11001642036124798,0.29627832678138283,0.5420182244074607,-12.181818181818182,-0.21003134796238243,2.7203389830508473,5.310828472505018
hist_gradient_boosting,3.5,Caesars Sportsbook (Colorado),8,8,5,3,0,0.625,0.10119047619047616,0.30573785458380187,0.863158240538479,1.5454545454545452,0.19318181818181815,10.8125,4.24947396482494
hist_gradient_boosting,3.5,DraftKings,276,269,150,119,7,0.5576208178438662,0.033811294034342354,0.4978697056075016,0.6157493319586174,17.363636363636363,0.0645488340655627,-0.8496376811594203,5.119759219039918
hist_gradient_boosting,3.5,ESPN Bet,119,119,60,59,0,0.5042016806722689,-0.019607843137254943,0.41565273000948033,0.5924878347503404,-4.454545454545454,-0.0374331550802139,1.819327731092437,4.881202581160625
hist_gradient_boosting,3.5,William Hill (New Jersey),128,127,67,60,1,0.5275590551181102,0.0037495313085863513,0.4412015042102698,0.6122983001333028,0.9090909090909096,0.007158196134574092,0.94140625,4.869652557454488
hist_gradient_boosting,3.5,consensus,1809,1787,963,824,22,0.5388919977616117,0.015082473952087838,0.5157207709730592,0.561896367248434,51.45454545454547,0.028793813908531318,-0.12410171365395246,5.8263912016131
hist_gradient_boosting,3.5,numberfire,3,3,3,0,0,1.0,0.47619047619047616,0.43849391955098227,1.0,2.727272727272727,0.9090909090909091,27.833333333333332,5.68354460401935
hist_gradient_boosting,3.5,teamrankings,375,372,197,175,3,0.5295698924731183,0.005760368663594417,0.478804931374085,0.5797303664747959,4.090909090909101,0.010997067448680379,0.24533333333333332,6.434850981523663
hist_gradient_boosting,5.0,Bovada,29,29,14,15,0,0.4827586206896552,-0.04105090311986864,0.3138581933079522,0.6556926202943085,-2.2727272727272725,-0.07836990595611285,1.4310344827586208,6.598910806451585
hist_gradient_boosting,5.0,Caesars Sportsbook (Colorado),1,1,1,0,0,1.0,0.47619047619047616,0.20654329147389294,1.0,0.9090909090909091,0.9090909090909091,-5.5,5.395589430360288
hist_gradient_boosting,5.0,DraftKings,120,116,64,52,4,0.5517241379310345,0.02791461412151064,0.4610104889496263,0.6391216855206745,6.181818181818183,0.053291536050156754,-1.7625,6.400237135544196
hist_gradient_boosting,5.0,ESPN Bet,39,39,19,20,0,0.48717948717948717,-0.036630036630036666,0.3386492878313309,0.6380089135430342,-2.7272727272727275,-0.06993006993006994,5.448717948717949,6.499399834068743
hist_gradient_boosting,5.0,William Hill (New Jersey),45,44,19,25,1,0.4318181818181818,-0.09199134199134201,0.29682504164854573,0.5777610925944561,-7.727272727272729,-0.17561983471074386,-0.4222222222222222,6.193928400509267
hist_gradient_boosting,5.0,consensus,1038,1025,564,461,13,0.5502439024390244,0.0264343786295006,0.5196575107950123,0.5804550818528744,51.727272727272734,0.05046563192904657,0.6204238921001927,7.047867471515289
hist_gradient_boosting,5.0,numberfire,3,3,3,0,0,1.0,0.47619047619047616,0.43849391955098227,1.0,2.727272727272727,0.9090909090909091,27.833333333333332,5.68354460401935
hist_gradient_boosting,5.0,teamrankings,250,249,133,116,1,0.5341365461847389,0.0103270223752151,0.47212813606767273,0.5951076352610959,4.90909090909091,0.019715224534501648,-0.288,7.570696433871426
ridge,1.5,Bovada,246,246,124,122,0,0.5040650406504065,-0.019744483159117365,0.4420042666450203,0.5660008053686074,-9.272727272727273,-0.037694013303769404,1.420731707317073,3.7655473836745887
ridge,1.5,Caesars,1,1,0,1,0,0.0,-0.5238095238095238,0.0,0.7934567085261071,-1.0,-1.0,-9.0,3.9916149685643965
ridge,1.5,Caesars Sportsbook (Colorado),39,39,27,12,0,0.6923076923076923,0.16849816849816845,0.535784513844354,0.8143424655401694,12.545454545454541,0.32167832167832155,9.038461538461538,3.423582788719376
ridge,1.5,Draft Kings,3,3,3,0,0,1.0,0.47619047619047616,0.43849391955098227,1.0,2.727272727272727,0.9090909090909091,15.166666666666666,3.5065186522007505
ridge,1.5,DraftKings,1174,1155,640,515,19,0.5541125541125541,0.030303030303030276,0.5253135281567624,0.5825528100899834,66.81818181818183,0.057851239669421496,0.770442930153322,3.354382114481723
ridge,1.5,ESPN Bet,798,798,408,390,0,0.5112781954887218,-0.01253132832080206,0.47662450424643266,0.5458238197118154,-19.09090909090908,-0.02392344497607654,0.2581453634085213,3.222168874109578
ridge,1.5,William Hill (New Jersey),347,344,165,179,3,0.4796511627906977,-0.04415836101882614,0.42737347594147646,0.5323783191284636,-29.0,-0.08430232558139535,0.6657060518731989,3.528561027526818
ridge,1.5,consensus,3237,3194,1592,1602,43,0.49843456480901693,-0.025374959000506903,0.4811065685632467,0.5157663222015743,-154.7272727272727,-0.048443103546422256,0.06688291628050665,3.904923455815883
ridge,1.5,numberfire,1,1,0,1,0,0.0,-0.5238095238095238,0.0,0.7934567085261071,-1.0,-1.0,69.0,2.1629233953236753
ridge,1.5,teamrankings,580,572,272,300,8,0.4755244755244755,-0.048285048285048315,0.4348974412891815,0.5164780758669252,-52.727272727272734,-0.09218054672600129,0.41551724137931034,5.47968174555873
ridge,2.5,Bovada,171,171,89,82,0,0.52046783625731,-0.003341687552213868,0.4459642912960303,0.5940719472192887,-1.09090909090909,-0.006379585326953742,1.6578947368421053,4.542958021671331
ridge,2.5,Caesars,1,1,0,1,0,0.0,-0.5238095238095238,0.0,0.7934567085261071,-1.0,-1.0,-9.0,3.9916149685643965
ridge,2.5,Caesars Sportsbook (Colorado),26,26,17,9,0,0.6538461538461539,0.13003663003663002,0.46220229009632996,0.8058798502714787,6.454545454545454,0.24825174825174823,8.576923076923077,4.150580464681076
ridge,2.5,Draft Kings,2,2,2,0,0,1.0,0.47619047619047616,0.34237195288961925,1.0,1.8181818181818181,0.9090909090909091,15.0,4.023741661072812
ridge,2.5,DraftKings,707,695,383,312,12,0.5510791366906475,0.027269612881123617,0.5139200266474092,0.5876766728049415,36.18181818181817,0.05206017004578154,0.5183875530410184,4.25961011812965
ridge,2.5,ESPN Bet,406,406,217,189,0,0.5344827586206896,0.010673234811165777,0.4858656124619452,0.5824534649572333,8.272727272727273,0.020376175548589344,1.0541871921182266,4.450190377184584
